什么也没有了,0-确定
你用力拽了几下，没有拽开,继续-2|0-离开
抽屉纹丝不动,0-放弃
也许你需要看看电视放松一下|但是你找不到遥控器,0-离开
好吧，也许可以容纳两个人,0-离开
其实你并不想上,0-离开
水满了出来,0-逃
你看见了你帅气的脸,0-满意地离开|盯着看-8
“你想知道什么？”|镜子里的你问道,怎么回事？-9
怎么回事？|“静下心来，答案就在你心中”,0-离开
穿着衣服洗澡并不明智,0-离开
穿着衣服洗澡并不明智,0-离开
那些污渍有的像是干掉的血渍，有的像是烟熏火燎留下的痕迹，还有一些颜色奇怪的，叫人看了就想呕吐。,3-线索-14-1.2
什么也没有,0-离开
你获得了一些东西,0-离开
你摸了摸口袋，打算买下这件商品。||可惜你没有钱。,0-离开
“或许你可以先去隔壁逛逛”|他指了指西边|“那里好像发生了什么奇怪的事”,0-离开
他低头忙着自己的事，没有理会你,0-离开
“除了最里面的房间，您可以自由参观本店”,最里面的房间？-19|0-好的
“是的客人，由于店长已经失联好几天了，按照规定必须封锁<color=red>那里</color>”,真是奇怪的规定-42|失联？需要报警吗-43
“好吧客人，不过你得拿着这个”,3-获得：镜子-34-1
店员不为所动,0-离开
“好吧客人，不过你得拿着这个”,3-获得：镜子-34-1
你想起自己似乎在什么地方参观,醒来-25
你感觉头痛欲裂，想不起任何东西,醒来-25
你缓缓睁开眼睛，发现自己置身于一个陌生的房间,观察-26|起身-27
房间的墙壁被一层暗淡的白色石膏所覆盖，昏黄的灯光投下一片微弱而生硬的光晕，勉强点亮着这个似乎与世隔绝的空间,起身-27
你尝试着坐起身，却被一阵剧痛刺激了脑海。恍惚间有一只手伸向了你,握住-30|2-自己起来-28-29-1-10
你颤抖地站了起来,0-好耶
你挣扎地站起来，却又摔在了地上,握住-30
头脑中的混沌渐渐消散，你看清了手的主人，他一脸急切地看着你,0-确定
“我是这里的店员”,这是哪-32|发生甚么事了-33|0-推开他
“这里是年里”,你是谁-31|发生甚么事了-33|0-推开他
“不好意思客人，这边是禁止进入的”,你是谁-31|这是哪-32|0-推开他
店员递给你一面镜子，你看了看镜子里的自己,0-确定
打开备忘录，上面草草记载着一些信息,4-确认信息-41-1
信上写着你不认识的文字，但在最后一行你发现了店长的署名,2-继续翻找-37-38-5-8
你发现保险箱里有个小隔间,3-打开-39-4
你的手一阵乱搜，不小心碰开一个隔间,3-打开-39-4
隔间里有一个还在运作的怀表，看不出外壳是什么材料,4-继续翻找-40-2
什么也没有了,0-确定
你回忆起了一些事情,0-确定
“如果违反了规定，我一定会被炒鱿鱼的”,啊这，那好吧-44
“不用担心，这是常有的事”,啊这，那好吧-44
“明天11月19日将会举办展览活动，如果店长再不回来，咱就完蛋了”,没有办法联系上店长吗-45|0-祝你好运
“老板每次失联前都会在那边设置一个保险箱”,你知道里面有什么吗-46|也许我们可以打开看看-47
“不清楚，不过也许里面会有什么线索”,0-好的
“我从来没有成功过，但是可以确定密码是4位”,0-好的
“你是说年里？好像是有这么一回事”,你有他的消息吗-49
“说起来确实好久没看到他了，上次看到他好像还是七天前”,七天前？-50
“是的，他从我门口经过，应该是要返回店里。奇怪。。。”,怎么了-51|有什么问题吗-51
“没什么，我想多了”|他低下头，继续忙自己的事,0-离开
